date,训练集_样本数,验证集_样本数,测试集_样本数
2024-04-02,297.0,0.0,0.0
2024-04-03,297.0,0.0,0.0
2024-04-08,297.0,0.0,0.0
2024-04-09,297.0,0.0,0.0
2024-04-10,297.0,0.0,0.0
2024-04-11,298.0,0.0,0.0
2024-04-12,298.0,0.0,0.0
2024-04-15,298.0,0.0,0.0
2024-04-16,298.0,0.0,0.0
2024-04-17,298.0,0.0,0.0
2024-04-18,298.0,0.0,0.0
2024-04-19,298.0,0.0,0.0
2024-04-22,298.0,0.0,0.0
2024-04-23,297.0,0.0,0.0
2024-04-24,298.0,0.0,0.0
2024-04-25,298.0,0.0,0.0
2024-04-26,298.0,0.0,0.0
2024-04-29,298.0,0.0,0.0
2024-04-30,298.0,0.0,0.0
2024-05-06,298.0,0.0,0.0
2024-05-07,298.0,0.0,0.0
2024-05-08,298.0,0.0,0.0
2024-05-09,298.0,0.0,0.0
2024-05-10,298.0,0.0,0.0
2024-05-13,298.0,0.0,0.0
2024-05-14,298.0,0.0,0.0
2024-05-15,298.0,0.0,0.0
2024-05-16,298.0,0.0,0.0
2024-05-17,298.0,0.0,0.0
2024-05-20,298.0,0.0,0.0
2024-05-21,298.0,0.0,0.0
2024-05-22,298.0,0.0,0.0
2024-05-23,298.0,0.0,0.0
2024-05-24,298.0,0.0,0.0
2024-05-27,298.0,0.0,0.0
2024-05-28,298.0,0.0,0.0
2024-05-29,298.0,0.0,0.0
2024-05-30,298.0,0.0,0.0
2024-05-31,298.0,0.0,0.0
2024-06-03,298.0,0.0,0.0
2024-06-04,298.0,0.0,0.0
2024-06-05,298.0,0.0,0.0
2024-06-06,298.0,0.0,0.0
2024-06-07,298.0,0.0,0.0
2024-06-11,298.0,0.0,0.0
2024-06-12,298.0,0.0,0.0
2024-06-13,298.0,0.0,0.0
2024-06-14,298.0,0.0,0.0
2024-06-17,298.0,0.0,0.0
2024-06-18,298.0,0.0,0.0
2024-06-19,298.0,0.0,0.0
2024-06-20,298.0,0.0,0.0
2024-06-21,298.0,0.0,0.0
2024-06-24,298.0,0.0,0.0
2024-06-25,298.0,0.0,0.0
2024-06-26,298.0,0.0,0.0
2024-06-27,298.0,0.0,0.0
2024-06-28,298.0,0.0,0.0
2024-07-01,298.0,0.0,0.0
2024-07-02,298.0,0.0,0.0
2024-07-03,298.0,0.0,0.0
2024-07-04,298.0,0.0,0.0
2024-07-05,298.0,0.0,0.0
2024-07-08,298.0,0.0,0.0
