股票代码,2024-04-02,2024-04-03,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-29,2024-04-30,2024-05-06
000001,8.99,8.9,8.87,8.84,8.72,8.69,8.5,8.73,8.72,9.06,9.24,9.13,8.94,8.98,8.97,9.05,9.04,9.25,9.23,9.33
000002,8.5,8.19,8.0,7.99,7.58,7.44,7.1,7.14,7.07,7.1,6.88,6.7,6.69,6.57,6.54,6.55,6.87,7.56,7.41,7.46
000063,26.44,25.92,25.54,25.72,25.19,25.46,25.66,26.89,26.29,27.69,27.36,26.73,26.18,26.2,26.94,26.5,27.44,27.58,27.37,27.44
000066,9.8,9.61,9.53,9.39,9.05,9.13,9.04,9.13,8.72,9.14,9.14,8.98,8.95,9.04,9.22,9.09,9.42,9.74,9.78,9.71
000069,2.7,2.68,2.67,2.68,2.61,2.58,2.53,2.5,2.42,2.46,2.45,2.4,2.42,2.4,2.39,2.42,2.51,2.71,2.64,2.64
000100,4.88,4.99,4.97,4.89,4.84,4.79,4.73,4.86,4.71,4.89,4.85,4.85,4.76,4.65,4.71,4.71,4.8,4.69,4.65,4.81
000157,7.67,7.66,7.84,7.71,7.97,8.3,8.23,8.43,8.25,8.53,8.4,8.39,8.0,7.75,7.77,7.72,7.8,7.68,7.69,7.96
000166,4.36,4.38,4.34,4.31,4.29,4.28,4.2,4.32,4.29,4.31,4.39,4.41,4.42,4.41,4.4,4.43,4.65,4.63,4.55,4.53
000333,59.3,59.78,58.37,58.09,58.22,58.12,57.94,59.89,61.36,61.63,63.05,63.05,63.03,61.44,60.95,61.29,61.42,61.25,62.83,64.06
000338,16.41,16.4,16.38,16.15,16.18,16.53,16.53,17.02,16.79,17.12,17.02,17.12,16.79,16.16,16.42,16.17,16.29,16.37,16.02,15.94
